analysis_scope_rows,analysis_scope_studies,bootstrap_median_ci_high,bootstrap_median_ci_low,descriptive_synthesis_mode,display_unit,iqr_high_study_level,iqr_low_study_level,max_study_level,median_study_level,min_study_level,n_rows,n_studies,source_cohort_id,source_cohort_rows,source_cohort_studies,subgroup,subgroup_type,frozen_dl_n_studies,frozen_dl_n_rows,pooled_mean_dl_frozen,pooled_ci_low_dl_frozen,pooled_ci_high_dl_frozen,i2_percent_frozen,q_frozen,tau2_dl_frozen,variance_imputation,imputed_sampling_variance,frozen_dl_synthesis_mode,dl_method,effect_input,variance_source,frozen_dl_study_n_match,frozen_dl_row_n_match,i2_pooled_source
185,45,1.28,1.28,list_or_descriptive_lt_min_studies,log10 reduction,1.28,1.28,1.28,1.28,1.28,1,1,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,activated_sludge_to_secondary_effluent,route,1,1,,,,,,,not_estimated_lt5_studies,,not_estimated_lt5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
185,45,4.0,4.0,list_or_descriptive_lt_min_studies,log10 reduction,4.0,4.0,4.0,4.0,4.0,3,1,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,final_effluent_to_influent,route,1,3,,,,,,,not_estimated_lt5_studies,,not_estimated_lt5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
185,45,1.0,1.0,list_or_descriptive_lt_min_studies,log10 reduction,1.0,1.0,1.0,1.0,1.0,1,1,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,final_effluent_to_receiving_water_downstream,route,1,1,,,,,,,not_estimated_lt5_studies,,not_estimated_lt5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
185,45,1.46,1.46,list_or_descriptive_lt_min_studies,log10 reduction,1.46,1.46,1.46,1.46,1.46,1,1,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,influent_to_activated_sludge,route,1,1,,,,,,,not_estimated_lt5_studies,,not_estimated_lt5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
185,45,3.0,1.7,median_iqr_bootstrap_ci,log10 reduction,3.0,1.5,4.79,2.045,0.17,81,25,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,influent_to_final_effluent,route,25,81,2.2187296536533787,1.5866949073200685,2.850764399986689,99.47562444861204,4576.872422155205,2.4845175058428253,within-study median from frozen rows,0.08600337752525253,frozen_dl_ge5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
185,45,2.0,0.635,list_or_descriptive_lt_min_studies,log10 reduction,1.92,0.8,2.7,1.085,0.3,28,9,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,influent_to_secondary_effluent,route,9,28,1.172172563132929,0.8365071040874064,1.5078380221784515,78.98181059262424,38.062269993592395,0.1777196150250243,within-study median from frozen rows,0.08716805555555555,frozen_dl_ge5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
185,45,1.88,1.88,list_or_descriptive_lt_min_studies,log10 reduction,1.88,1.88,1.88,1.88,1.88,4,1,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,primary_effluent_to_secondary_effluent,route,1,4,,,,,,,not_estimated_lt5_studies,,not_estimated_lt5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
185,45,3.18,2.0,median_iqr_bootstrap_ci,log10 reduction,3.01,2.0125,4.37,2.325,0.47,64,10,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,secondary_effluent_to_final_effluent,route,10,64,2.5137945833412725,1.9320862182841094,3.0955029483984355,93.31235713031228,134.5765642001194,0.756618067095763,within-study median from frozen rows,0.06273802982731552,frozen_dl_ge5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
185,45,2.0,2.0,list_or_descriptive_lt_min_studies,log10 reduction,2.0,2.0,2.0,2.0,2.0,2,1,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,sewage_sludge_to_anaerobic_sludge,route,1,2,,,,,,,not_estimated_lt5_studies,,not_estimated_lt5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
170,40,2.3,0.94,median_iqr_bootstrap_ci,log10 reduction,2.30125,0.895,3.805,1.725,0.17,37,16,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,biological,treatment_4group,16,37,1.5707168667318057,1.1250432850601344,2.016390448403477,85.45309414254795,103.11471145127295,0.6407565924307898,within-study median from frozen rows,0.19583333333333333,frozen_dl_ge5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
170,40,2.7,1.5299999999999998,median_iqr_bootstrap_ci,log10 reduction,2.7,1.5299999999999998,4.0,2.0,0.2,94,17,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,disinfection,treatment_4group,17,94,2.0732835025098244,1.3337094163648766,2.812857588654772,99.03249793417685,1653.7432389239568,2.3108390102633183,within-study median from frozen rows,0.050292847222222214,frozen_dl_ge5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
170,40,3.59,0.7000000000000001,list_or_descriptive_lt_min_studies,log10 reduction,3.135,1.3975,4.0,2.645,0.3,18,6,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,membrane,treatment_4group,6,18,2.2965318477270142,1.0892796989395976,3.503783996514431,96.06673398612139,127.12081975532294,2.078272005646139,within-study median from frozen rows,0.0804641975308642,frozen_dl_ge5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,frozen_snapshot_direct_rerun
170,40,4.07,1.06,list_or_descriptive_lt_min_studies,log10 reduction,3.6425,2.14,4.07,3.0,1.06,21,4,M1_AXIS1_REMOVAL_LOG_REDUCTION,185,45,physicochemical,treatment_4group,4,21,,,,,,,not_estimated_lt5_studies,,not_estimated_lt5_studies,DerSimonian-Laird on frozen snapshot study-level means,analysis_value log10 reduction from frozen snapshot,No per-effect SE in frozen; imputed from frozen within-study dispersion/fallback.,True,True,not_estimated_by_threshold
